Name,Province,Data
Luc Ngan District,Bac Giang Province,504
Son Dong District,Bac Giang Province,930
Bach Long Vi District,Hai Phong City,472
Con Co District,Quang Tri Province,374
Ba Dinh District,Ha Noi City,582
Hoan Kiem District,Ha Noi City,917
Tay Ho District,Ha Noi City,687
Long Bien District,Ha Noi City,894
Cau Giay District,Ha Noi City,787
Dong Da District,Ha Noi City,765
Dong Hy District,Thai Nguyen Province,986
Hai Ba Trung District,Ha Noi City,196
Hoang Mai District,Ha Noi City,742
Thanh Xuan District,Ha Noi City,257
Soc Son District,Ha Noi City,128
Dong Anh District,Ha Noi City,588
Gia Lam District,Ha Noi City,103
Luc Yen District,Yen Bai Province,711
Phu Xuyen District,Ha Noi City,178
Ung Hoa District,Ha Noi City,195
Ky Son District,Hoa Binh Province,542
Luong Son District,Hoa Binh Province,850
Bac Quang District,Ha Giang Province,737
Quang Binh District,Ha Giang Province,635
Muong Lat District,Thanh Hoa Province,172
Tran Yen District,Yen Bai Province,333
Dinh Hoa District,Thai Nguyen Province,117
Phu Yen District,Son La Province,895
Thanh Tri District,Ha Noi City,184
Lac Son District,Hoa Binh Province,648
Bac Ai District,Ninh Thuan Province,275
Ninh Son District,Ninh Thuan Province,943
Ninh Hai District,Ninh Thuan Province,292
Thuan Bac District,Ninh Thuan Province,928
Chau Thanh District,Tra Vinh Province,714
Song Ma District,Son La Province,946
Kim Thanh District,Hai Duong Province,395
Thanh Mien District,Hai Duong Province,936
Phu Ninh District,Phu Tho Province,115
Co To District,Quang Ninh Province,982
Bac Giang City,Bac Giang Province,534
Bim Son Town,Thanh Hoa Province,551
Sam Son City,Thanh Hoa Province,940
District 12,Ho Chi Minh City,205
Phu Tan District,An Giang Province,811
Tinh Bien District,An Giang Province,745
Thai Nguyen City,Thai Nguyen Province,761
Phu Luong District,Thai Nguyen Province,735
Yen The District,Bac Giang Province,667
Bien Hoa City,Dong Nai Province,516
Kien Tuong Town,Long An Province,405
Moc Hoa District,Long An Province,154
Phuc Tho District,Ha Noi City,660
Kien Thuy District,Hai Phong City,167
Thuy Nguyen District,Hai Phong City,389
Tra Bong District,Quang Ngai Province,161
Tay Tra District,Quang Ngai Province,463
Quang Ngai City,Quang Ngai Province,835
Son Tinh District,Quang Ngai Province,470
Hoang Su Phi District,Ha Giang Province,774
Xin Man District,Ha Giang Province,808
Nguyen Binh District,Cao Bang Province,715
Muong Te District,Lai Chau Province,701
Nam Nhun District,Lai Chau Province,912
Sin Ho District,Lai Chau Province,910
Phong Tho District,Lai Chau Province,479
Viet Tri City,Phu Tho Province,551
An Nhon Town,Binh Dinh Province,294
Cam My District,Dong Nai Province,396
Long Thanh District,Dong Nai Province,975
Thach An District,Cao Bang Province,279
U Minh District,Ca Mau Province,448
Thoi Binh District,Ca Mau Province,141
Pho Yen Town,Thai Nguyen Province,222
Phu Binh District,Thai Nguyen Province,236
Binh Gia District,Lang Son Province,492
Cu M'gar District,Dak Lak Province,845
Buon Ho Town,Dak Lak Province,290
Krong Buk District,Dak Lak Province,164
Yen Thanh District,Nghe An Province,458
Do Luong District,Nghe An Province,280
Bo Trach District,Quang Binh Province,384
Tan Uyen Town,Binh Duong Province,439
Bac Tan Uyen District,Binh Duong Province,410
Da Bac District,Hoa Binh Province,162
Mai Chau District,Hoa Binh Province,840
Cam Khe District,Phu Tho Province,206
Tam Nong District,Phu Tho Province,311
Khoai Chau District,Hung Yen Province,753
Kim Dong District,Hung Yen Province,246
Thach Thanh District,Thanh Hoa Province,879
An Lao District,Hai Phong City,526
Duong Kinh District,Hai Phong City,366
Vu Thu District,Thai Binh Province,919
Lam Thao District,Phu Tho Province,195
Go Cong Dong District,Tien Giang Province,906
Go Cong Town,Tien Giang Province,135
Rach Gia City,Kien Giang Province,812
Ha Tien Town,Kien Giang Province,748
Cho Lach District,Ben Tre Province,197
Mo Cay Bac District,Ben Tre Province,986
Qui Nhon City,Binh Dinh Province,400
Van Canh District,Binh Dinh Province,124
Tuy Hoa City,Phu Yen Province,895
Ha Quang District,Cao Bang Province,524
Ba Tri District,Ben Tre Province,563
Mo Cay Nam District,Ben Tre Province,745
Thot Not District,Can Tho City,257
Co Do District,Can Tho City,959
KBang District,Gia Lai Province,950
Nha Trang City,Khanh Hoa Province,517
Cao Loc District,Lang Son Province,329
Ba Vi District,Ha Noi City,811
Tra Linh District,Cao Bang Province,448
Trung Khanh District,Cao Bang Province,367
Huong Hoa District,Quang Tri Province,956
Gio Linh District,Quang Tri Province,725
Ky Son District,Nghe An Province,404
Ngo Quyen District,Hai Phong City,214
Ha Giang City,Ha Giang Province,904
Vi Xuyen District,Ha Giang Province,849
Thanh Thuy District,Phu Tho Province,917
Hoai Duc District,Ha Noi City,765
Quoc Oai District,Ha Noi City,632
Lang Chanh District,Thanh Hoa Province,581
Ngoc Lac District,Thanh Hoa Province,531
Thu Dau Mot City,Binh Duong Province,881
Phu Giao District,Binh Duong Province,944
Thuan An Town,Binh Duong Province,748
